W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
win,Dan Ige  Mike Santiago,0  0,25  0,1  0,0  0,Featherweight,KO/TKO  Punches,1.0,0:50,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Marlon Moraes  Jimmie Rivera,1  0,7  0,0  0,0  0,Bantamweight,KO/TKO  Kick,1.0,0:33,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Gregor Gillespie  Vinc Pichel,0  0,13  7,7  0,2  0,Lightweight,SUB  Arm Triangle,2.0,4:06,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Walt Harris  Daniel Spitz,1  0,29  17,0  0,0  0,Heavyweight,KO/TKO  Punches,2.0,4:59,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Ben Saunders  Jake Ellenberger,1  0,10  5,0  0,0  0,Welterweight,KO/TKO  Knee,1.0,1:56,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Julio Arce  Daniel Teymur,0  0,63  37,0  0,1  0,Featherweight,SUB  Rear Naked Choke,3.0,2:55,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Sam Alvey  Gian Villante,1  0,53  50,0  0,0  0,Light Heavyweight,S-DEC,3.0,5:00,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Sijara Eubanks  Lauren Murphy,0  0,75  49,2  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,David Teymur  Nik Lentz,0  0,67  61,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Belal Muhammad  Chance Rencountre,0  0,70  16,3  0,1  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Desmond Green  Gleison Tibau,0  0,77  28,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Nathaniel Wood  Johnny Eduardo,0  0,33  37,0  0,1  0,Bantamweight,SUB  D'Arce Choke,2.0,2:18,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Jose Torres  Jarred Brooks,0  0,22  31,1  2,0  0,Flyweight,KO/TKO  Punches,2.0,2:55,"UFC Fight Night: Rivera vs. Moraes  June 01, 2018"
win,Darren Till  Stephen Thompson,1  0,38  30,0  0,0  0,Welterweight,U-DEC,5.0,5:00,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Neil Magny  Craig White,1  0,18  6,0  0,0  0,Welterweight,KO/TKO  Knee,1.0,4:32,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Arnold Allen  Mads Burnell,0  0,29  20,0  6,1  0,Featherweight,SUB  Guillotine Choke,3.0,2:41,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Makwan Amirkhani  Jason Knight,0  2,27  29,3  0,0  1,Featherweight,S-DEC,3.0,5:00,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Claudio Silva  Nordine Taleb,0  0,18  6,1  1,1  0,Welterweight,SUB  Rear Naked Choke,1.0,4:31,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Darren Stewart  Eric Spicely,1  0,34  15,0  0,0  0,Middleweight,KO/TKO  Punch,2.0,1:47,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Tom Breese  Daniel Kelly,1  0,23  6,0  0,0  0,Middleweight,KO/TKO  Punch,1.0,3:33,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Lina Lansberg  Gina Mazany,0  0,40  38,1  2,0  0,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Carlo Pedersoli Jr.  Brad Scott,0  1,67  58,3  0,0  0,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Gillian Robertson  Molly McCann,0  0,17  10,2  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,2.0,2:05,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Elias Theodorou  Trevor Smith,0  0,77  41,0  3,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Thompson vs. Till  May 27, 2018"
win,Kamaru Usman  Demian Maia,1  0,66  27,0  0,0  0,Welterweight,U-DEC,5.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Tatiana Suarez  Alexa Grasso,0  0,2  6,2  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1.0,2:44,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Dominick Reyes  Jared Cannonier,1  0,20  6,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1.0,2:55,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Guido Cannetti  Diego Rivas,0  0,25  22,1  2,1  1,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Andrea Lee  Veronica Macedo,0  0,56  24,3  1,2  1,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Vicente Luque  Chad Laprise,1  0,14  13,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,4:16,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Michel Prazeres  Zak Cummings,0  0,30  28,3  0,0  0,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Alexandre Pantoja  Brandon Moreno,0  0,79  45,0  2,0  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Poliana Botelho  Syuri Kondo,1  0,9  2,0  0,0  0,Women's Strawweight,KO/TKO  Kick,1.0,0:33,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Gabriel Benitez  Humberto Bandenay,1  0,9  2,1  0,0  1,Featherweight,KO/TKO  Slam,1.0,0:39,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Enrique Barzola  Brandon Davis,0  0,51  29,10  0,1  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Frankie Saenz  Henry Briones,1  0,66  44,4  0,0  1,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Claudio Puelles  Felipe Silva,0  1,16  70,2  1,1  0,Lightweight,SUB  Kneebar,3.0,2:23,"UFC Fight Night: Maia vs. Usman  May 19, 2018"
win,Amanda Nunes  Raquel Pennington,0  0,124  64,3  1,0  0,Women's Bantamweight,KO/TKO  Punches,5.0,2:36,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Kelvin Gastelum  Jacare Souza,1  0,53  64,0  1,0  1,Middleweight,S-DEC,3.0,5:00,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Mackenzie Dern  Amanda Cooper,1  0,15  6,0  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1.0,2:27,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,John Lineker  Brian Kelleher,2  0,102  50,0  1,1  0,Bantamweight,KO/TKO  Punch,3.0,3:43,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Lyoto Machida  Vitor Belfort,1  0,11  2,0  0,0  0,Middleweight,KO/TKO  Kick,2.0,1:00,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Cezar Ferreira  Karl Roberson,0  0,5  4,2  0,1  0,Middleweight,SUB  Arm Triangle,1.0,4:45,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Aleksei Oleinik  Junior Albini,0  0,10  10,0  1,1  0,Heavyweight,SUB  Ezekiel Choke,1.0,1:45,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Davi Ramos  Nick Hein,0  0,6  1,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,4:15,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Elizeu Zaleski dos Santos  Sean Strickland,1  0,15  14,0  0,0  0,Welterweight,KO/TKO  Kick,1.0,3:40,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Warlley Alves  Sultan Aliev,0  0,29  12,0  1,0  0,Welterweight,KO/TKO,2.0,5:00,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Jack Hermansson  Thales Leites,0  0,35  11,3  3,1  3,Middleweight,KO/TKO  Punches,3.0,2:10,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Ramazan Emeev  Alberto Mina,0  0,39  12,3  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Markus Perez  James Bochnovic,0  0,4  3,1  0,2  0,Middleweight,SUB  Rear Naked Choke,1.0,4:28,"UFC 224: Nunes vs. Pennington  May 12, 2018"
win,Kevin Lee  Edson Barboza,0  0,142  51,4  0,0  0,Lightweight,KO/TKO,5.0,2:18,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Frankie Edgar  Cub Swanson,0  0,58  48,0  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Justin Willis  Chase Sherman,1  0,76  69,1  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,David Branch  Thiago Santos,1  0,5  14,0  0,0  0,Middleweight,KO/TKO  Punch,1.0,2:30,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Aljamain Sterling  Brett Johns,0  0,89  27,3  1,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Dan Hooker  Jim Miller,1  0,24  10,0  1,0  0,Lightweight,KO/TKO  Knee,1.0,3:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Ryan LaFlare  Alex Garcia,0  0,24  11,1  5,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Ricky Simon  Merab Dvalishvili,0  1,34  61,2  6,1  0,Bantamweight,KO/TKO,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Siyar Bahadurzada  Luan Chagas,1  0,33  11,1  0,0  0,Welterweight,KO/TKO  Kick,2.0,2:40,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Corey Anderson  Patrick Cummins,0  0,64  31,12  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Anthony Rocco Martin  Keita Nakamura,0  0,56  24,0  2,2  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Lee  April 21, 2018"
win,Dustin Poirier  Justin Gaethje,0  0,174  115,0  0,0  0,Lightweight,KO/TKO  Punch,4.0,0:33,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Alex Oliveira  Carlos Condit,0  0,9  12,3  1,1  1,Welterweight,SUB  Guillotine Choke,2.0,3:17,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Israel Adesanya  Marvin Vettori,0  0,57  46,0  2,0  0,Middleweight,S-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Michelle Waterson  Cortney Casey,0  0,61  36,3  0,0  3,Women's Strawweight,S-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Antonio Carlos Junior  Tim Boetsch,0  0,31  7,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1.0,4:28,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Muslim Salikhov  Ricky Rainey,1  0,25  19,0  0,0  0,Welterweight,KO/TKO  Punch,2.0,4:12,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,John Moraga  Wilson Reis,0  0,46  12,0  8,1  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Brad Tavares  Krzysztof Jotko,1  0,46  24,0  0,0  0,Middleweight,KO/TKO  Punch,3.0,2:16,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Gilbert Burns  Dan Moret,1  0,31  20,2  0,0  0,Lightweight,KO/TKO  Punch,2.0,0:59,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Lauren Mueller  Shana Dobson,0  0,58  68,2  1,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Yushin Okami  Dhiego Lima,0  0,15  11,6  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Adam Wieczorek  Arjan Bhullar,0  0,13  9,0  2,1  0,Heavyweight,SUB  Omoplata,2.0,1:59,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Alejandro Perez  Matthew Lopez,0  0,44  22,0  3,0  2,Bantamweight,KO/TKO  Punches,2.0,3:42,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Luke Sanders  Patrick Williams,1  0,59  61,0  1,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Poirier vs. Gaethje  April 14, 2018"
win,Khabib Nurmagomedov  Al Iaquinta,0  0,134  41,6  0,1  0,Lightweight,U-DEC,5.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Rose Namajunas  Joanna Jedrzejczyk,0  0,105  145,1  0,0  0,Women's Strawweight,U-DEC,5.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Renato Moicano  Calvin Kattar,0  0,116  41,0  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Zabit Magomedsharipov  Kyle Bochniak,0  0,97  43,5  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Chris Gruetzemacher  Joe Lauzon,0  0,128  48,0  0,0  0,Lightweight,KO/TKO,2.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Karolina Kowalkiewicz  Felice Herrig,0  0,126  86,0  0,0  0,Women's Strawweight,S-DEC,3.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Olivier Aubin-Mercier  Evan Dunham,1  0,13  4,0  0,0  0,Lightweight,KO/TKO  Knees,1.0,0:53,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Ashlee Evans-Smith  Bec Rawlings,0  0,116  88,1  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Devin Clark  Mike Rodriguez,0  0,50  40,7  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC 223: Khabib vs. Iaquinta  April 07, 2018"
win,Alexander Volkov  Fabricio Werdum,1  0,48  48,2  3,0  0,Heavyweight,KO/TKO  Punch,4.0,1:38,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Jan Blachowicz  Jimi Manuwa,1  0,97  37,1  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Tom Duquesnoy  Terrion Ware,0  0,67  85,0  2,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Leon Edwards  Peter Sobotta,1  0,42  16,1  1,0  0,Welterweight,KO/TKO  Punch,3.0,4:59,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Charles Byrd  John Phillips,0  0,11  0,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1.0,3:58,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Danny Roberts  Oliver Enkamp,1  0,4  7,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,2:12,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Danny Henry  Hakeem Dawodu,1  0,2  3,0  0,1  0,Featherweight,SUB  Guillotine Choke,1.0,0:39,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Paul Craig  Magomed Ankalaev,0  0,18  59,2  0,1  0,Light Heavyweight,SUB  Triangle Choke,3.0,4:59,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Kajan Johnson  Stevie Ray,0  0,33  24,2  3,0  1,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Dmitry Sosnovskiy  Mark Godbeer,0  0,28  24,2  0,2  0,Heavyweight,SUB  Rear Naked Choke,2.0,4:29,"UFC Fight Night: Werdum vs. Volkov  March 17, 2018"
win,Cristiane Justino  Yana Kunitskaya,0  0,33  5,1  1,0  0,Women's Featherweight,KO/TKO  Punches,1.0,3:25,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Brian Ortega  Frankie Edgar,1  0,25  27,0  0,0  0,Featherweight,KO/TKO  Punch,1.0,4:44,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Sean O'Malley  Andre Soukhamthath,0  0,63  25,0  4,3  0,Bantamweight,U-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Andrei Arlovski  Stefan Struve,0  0,46  34,4  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Ketlen Vieira  Cat Zingano,0  0,41  59,2  0,1  0,Women's Bantamweight,S-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Mackenzie Dern  Ashley Yoder,0  1,70  52,1  0,1  0,Women's Strawweight,S-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Alexander Hernandez  Beneil Dariush,1  0,8  4,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,0:42,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,John Dodson  Pedro Munhoz,0  0,76  69,0  1,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,CB Dollaway  Hector Lombard,0  1,13  19,0  0,0  0,Middleweight,DQ,1.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Zak Ottow  Mike Pyle,1  0,22  4,0  0,0  0,Welterweight,KO/TKO  Punches,1.0,2:34,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Cody Stamann  Bryan Caraway,0  0,95  59,0  1,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Jordan Johnson  Adam Milstead,0  0,59  58,2  0,0  0,Light Heavyweight,S-DEC,3.0,5:00,"UFC 222: Cyborg vs. Kunitskaya  March 03, 2018"
win,Jeremy Stephens  Josh Emmett,1  1,24  18,0  0,0  0,Featherweight,KO/TKO  Punch,2.0,1:35,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Jessica Andrade  Tecia Torres,0  0,92  69,10  2,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Ilir Latifi  Ovince Saint Preux,1  0,25  7,0  0,1  0,Light Heavyweight,SUB  Guillotine Choke,1.0,3:48,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Max Griffin  Mike Perry,1  0,78  45,0  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Brian Kelleher  Renan Barao,0  0,94  116,1  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Marion Reneau  Sara McMann,0  0,23  9,0  2,1  0,Women's Bantamweight,SUB  Triangle Choke,2.0,3:40,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Angela Hill  Maryna Moroz,0  0,114  84,1  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Alan Jouban  Ben Saunders,2  0,78  33,0  0,0  0,Welterweight,KO/TKO  Punch,2.0,2:38,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Sam Alvey  Marcin Prachnio,2  0,10  15,1  0,0  0,Light Heavyweight,KO/TKO  Punch,1.0,4:23,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Rani Yahya  Russell Doane,0  0,17  2,2  1,2  0,Bantamweight,SUB  Arm Triangle,3.0,2:32,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Alex Perez  Eric Shelton,0  0,29  41,5  0,0  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Manny Bermudez  Albert Morales,0  0,12  19,1  1,3  0,Bantamweight,SUB  Guillotine Choke,2.0,2:33,"UFC Fight Night: Emmett vs. Stephens  February 24, 2018"
win,Donald Cerrone  Yancy Medeiros,3  0,28  25,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,4:58,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Derrick Lewis  Marcin Tybura,2  0,30  37,1  1,0  1,Heavyweight,KO/TKO  Punch,3.0,2:48,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,James Vick  Francisco Trinaldo,1  0,68  26,1  3,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Curtis Millender  Thiago Alves,2  0,47  33,0  1,0  0,Welterweight,KO/TKO  Knee,2.0,4:17,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Brandon Davis  Steven Peterson,0  0,114  73,0  1,0  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Sage Northcutt  Thibault Gouti,0  0,63  28,1  4,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Diego Ferreira  Jared Gordon,1  0,29  8,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,1:58,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Geoff Neal  Brian Camozzi,0  0,14  7,0  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,2:48,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Robert Sanchez  Joby Sanchez,0  0,2  1,3  0,1  0,Flyweight,SUB  Rear Naked Choke,1.0,1:50,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Lucie Pudilova  Sarah Moras,2  0,75  43,0  2,0  2,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Alex Morono  Joshua Burkman,1  0,7  4,0  0,1  0,Welterweight,SUB  Guillotine Choke,1.0,2:12,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Oskar Piechota  Tim Williams,1  0,17  8,0  0,0  0,Middleweight,KO/TKO  Punch,1.0,1:54,"UFC Fight Night: Cerrone vs. Medeiros  February 18, 2018"
win,Yoel Romero  Luke Rockhold,1  0,45  45,0  0,0  0,Middleweight,KO/TKO  Punch,3.0,1:48,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Curtis Blaydes  Mark Hunt,0  1,56  14,10  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Tai Tuivasa  Cyril Asker,0  0,38  3,0  0,0  0,Heavyweight,KO/TKO  Elbow,1.0,2:18,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Jake Matthews  Li Jingliang,2  0,63  49,2  0,1  0,Welterweight,U-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Tyson Pedro  Saparbeg Safarov,0  0,12  8,0  2,1  0,Light Heavyweight,SUB  Kimura,1.0,3:54,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Dong Hyun Ma  Damien Brown,0  0,67  46,0  0,0  0,Lightweight,S-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Israel Adesanya  Rob Wilkinson,1  0,52  22,0  3,0  0,Middleweight,KO/TKO  Punches,2.0,3:37,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Alexander Volkanovski  Jeremy Kennedy,0  0,73  8,2  0,0  0,Featherweight,KO/TKO  Punches,2.0,4:57,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Jussier Formiga  Ben Nguyen,1  0,27  21,2  0,1  0,Flyweight,SUB  Rear Naked Choke,3.0,1:43,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Ross Pearson  Mizuto Hirota,0  0,58  77,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Jose Quinonez  Teruto Ishihara,0  1,49  33,2  1,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Luke Jumeau  Daichi Abe,0  0,63  63,1  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC 221: Romero vs. Rockhold  February 10, 2018"
win,Lyoto Machida  Eryk Anders,0  0,62  32,0  3,0  0,Middleweight,S-DEC,5.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Valentina Shevchenko  Priscila Cachoeira,0  0,95  2,2  0,2  0,Women's Flyweight,SUB  Rear Naked Choke,2.0,4:25,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Michel Prazeres  Desmond Green,0  0,36  33,3  3,3  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Timothy Johnson  Marcelo Golm,0  0,77  59,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Douglas Silva de Andrade  Marlon Vera,0  0,97  72,1  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Thiago Santos  Anthony Smith,2  0,58  10,0  1,0  0,Middleweight,KO/TKO  Kick,2.0,1:03,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Sergio Moraes  Tim Means,0  1,87  129,0  0,0  0,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Alan Patrick  Damir Hadzovic,0  0,28  20,9  0,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Polyana Viana  Maia Stevenson,0  0,12  6,1  1,3  0,Women's Strawweight,SUB  Rear Naked Choke,1.0,3:50,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Iuri Alcantara  Joe Soto,1  0,17  1,0  0,0  0,Bantamweight,KO/TKO  Punches,1.0,1:06,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Deiveson Figueiredo  Joseph Morales,1  0,31  9,2  0,1  0,Flyweight,KO/TKO  Punches,2.0,4:34,"UFC Fight Night: Machida vs. Anders  February 03, 2018"
win,Jacare Souza  Derek Brunson,1  0,9  8,0  0,0  0,Middleweight,KO/TKO  Kick,1.0,3:50,"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018"
win,Andre Fili  Dennis Bermudez,0  0,80  103,4  1,0  0,Featherweight,S-DEC,3.0,5:00,"UFC Fight Night: Jacare vs. Brunson 2  January 27, 2018"
